ipo_date,ticker,company_name,offer_price,Current,first_day_return_pct,scrape_year,underpricing,first_day_close,sector,industry,exchange,risk_factors_path,mda_path,full_text_path
2020-09-30,ASAN,"Asana, Inc.",21.0,$6.39,-69.45,2020,-0.6945,6.4155,,,,data/raw/s1_filings/ASAN_2020-09-30_risk_factors.txt,data/raw/s1_filings/ASAN_2020-09-30_mda.txt,data/raw/s1_filings/ASAN_2020-09-30.txt
2020-09-30,BQ,Boqii Holding Limited,10.0,$0.76,-91.96,2020,-0.9196,0.8040000000000003,,,,data/raw/s1_filings/BQ_2020-09-30_risk_factors.txt,data/raw/s1_filings/BQ_2020-09-30_mda.txt,data/raw/s1_filings/BQ_2020-09-30.txt
2020-09-30,CD,Chindata Group Holdings Limited,13.5,$8.45,-37.41,2020,-0.3741,8.44965,,,,data/raw/s1_filings/CD_2020-09-30_risk_factors.txt,data/raw/s1_filings/CD_2020-09-30_mda.txt,data/raw/s1_filings/CD_2020-09-30.txt
2020-09-30,CLII,Climate Change Crisis Real Impact I Acquisition Corporation,10.0,$14.36,43.6,2020,0.436,14.36,,,,,,
2020-09-30,FGNA,FG New America Acquisition Corp.,10.0,$9.97,-0.3,2020,-0.003,9.97,,,,,,
2020-09-30,PLTR,Palantir Technologies Inc.,7.25,$144.15,1873.66,2020,18.7366,143.09035,,,,data/raw/s1_filings/PLTR_2020-09-30_risk_factors.txt,data/raw/s1_filings/PLTR_2020-09-30_mda.txt,data/raw/s1_filings/PLTR_2020-09-30.txt
2020-09-30,QELL,Qell Acquisition Corp.,10.0,$9.41,-5.9,2020,-0.059,9.41,,,,,,
2020-09-30,VSPR,Vesper Healthcare Acquisition Corp.,10.0,$12.49,24.9,2020,0.249,12.490000000000002,,,,,,
2020-09-30,YALA,Yalla Group Limited,7.5,$6.66,-12.13,2020,-0.1213,6.59025,,,,data/raw/s1_filings/YALA_2020-09-30_risk_factors.txt,data/raw/s1_filings/YALA_2020-09-30_mda.txt,data/raw/s1_filings/YALA_2020-09-30.txt
2020-09-29,ORPHY,Orphazyme A/S,11.0,-,,2020,,,,,,,,
2020-09-25,AMST,Amesite Inc.,5.0,$1.44,-68.4,2020,-0.684,1.5799999999999996,,,,data/raw/s1_filings/AMST_2020-09-25_risk_factors.txt,data/raw/s1_filings/AMST_2020-09-25_mda.txt,data/raw/s1_filings/AMST_2020-09-25.txt
2020-09-25,FTIV,FinTech Acquisition Corp. IV,10.0,$13.28,32.8,2020,0.3279999999999999,13.279999999999998,,,,,,
2020-09-25,GLSI,"Greenwich LifeSciences, Inc.",5.75,$24.70,321.04,2020,3.2104000000000004,24.2098,,,,data/raw/s1_filings/GLSI_2020-09-25_risk_factors.txt,data/raw/s1_filings/GLSI_2020-09-25_mda.txt,data/raw/s1_filings/GLSI_2020-09-25.txt
2020-09-25,GRAY,"Graybug Vision, Inc.",16.0,$5.50,-65.63,2020,-0.6563,5.4992,,,,,,
2020-09-25,PMVP,"PMV Pharmaceuticals, Inc.",18.0,$1.46,-92.0,2020,-0.92,1.4399999999999993,,,,data/raw/s1_filings/PMVP_2020-09-25_risk_factors.txt,data/raw/s1_filings/PMVP_2020-09-25_mda.txt,data/raw/s1_filings/PMVP_2020-09-25.txt
