ticker,first_day_close,underpricing,first_week_return,first_month_return,status
VSPR,,,,,no_data
YALA,7.0,-0.06666666666666667,0.15428570338657924,0.20142854963030135,ok
ORPHY,,,,,no_data
AMST,62.63999938964844,11.527999877929688,-0.08620686085246061,-0.195402266651239,ok
FTIV,,,,,no_data
GLSI,5.0,-0.13043478260869565,-0.14200000762939452,-0.18800001144409179,ok
GRAY,,,,,no_data
PMVP,37.5099983215332,1.0838887956407335,-0.1202345647385478,-0.0738468879503054,ok
PRLD,26.200000762939453,0.3789474085757607,0.2599235633697637,0.23473273023262517,ok
SYTA,,,,,no_data
VACQ,,,,,no_data
VIAOY,10.180000305175781,-0.32133331298828127,-0.11591358249526161,-0.13359534082333005,ok
PDAC,,,,,no_data
TSHA,24.059999465942383,0.20299997329711914,-0.15419780410736358,-0.16458849427981692,ok
ACTC,,,,,no_data
ASPL,0.3400000035762787,-0.9659999996423722,0.0,0.0,ok
BSY,32.71663284301758,0.4871196746826172,-0.0624063352878673,0.08898219068943175,ok
CRSR,14.25,-0.16176470588235295,0.41052634255927906,0.7312280755293997,ok
GDRX,50.5,0.5303030303030303,0.1009900687944771,0.039603960396039604,ok
LSF,40.79999923706055,0.8545454198663885,0.12426470072624171,0.25637253137424937,ok
VIH,,,,,no_data
FCAC,,,,,no_data
PMVC,,,,,no_data
AHAC,,,,,no_data
CMPS,29.0,0.7058823529411765,0.4886206265153556,0.27000006313981684,ok
NMMC,,,,,no_data
U,68.3499984741211,0.3144230475792518,0.31455743204062253,0.3065106809851485,ok
VTRU,,,,,no_data
AMWL,461.3999938964844,24.63333299424913,0.20156053694799742,0.5119202098265412,ok
BNL,11.47353458404541,-0.32508620093850527,0.01656421774213725,0.027175168418783906,ok
DYN,23.899999618530273,0.25789471676475123,-0.076987455311978,-0.2824267827505133,ok
OACB,,,,,no_data
PTVE,,,,,no_data
RTP,,,,,no_data
STWO,,,,,no_data
SUMO,,,,,no_data
ENPC,,,,,no_data
EQD,,,,,no_data
FROG,64.79000091552734,0.47250002080743964,0.16530327107783596,0.23753664411447978,ok
MTCR,,,,,no_data
SNOW,253.92999267578125,1.116083272298177,-0.14389790233557487,-0.044933598757231595,ok
STEP,21.973388671875,0.22074381510416666,0.035199868337722075,0.049999809034143305,ok
OM,910.2000122070312,32.711111563223376,-0.11618325486898196,-0.1756757001423684,ok
SAII,,,,,no_data
SBG,,,,,no_data
BSN,,,,,no_data
LEAP,,,,,no_data
LSPD,30.25,-0.00819672131147541,-0.016198339541096334,0.2578512144482825,ok
SNPR,,,,,no_data
TWCT,,,,,no_data
NSH,,,,,no_data
PIAI,,,,,no_data
